  SPEAKER   |   GENDER   | PARTITION  |  MINUTES   |  BOOK ID   |             TITLE              |            CHAPTER            
   10065    |     M      |   train    |   9.002    |   10039    | Saint Évangile selon Saint Marc |          Chapitre 09          
   10065    |     M      |   train    |   9.845    |   10039    | Saint Évangile selon Saint Marc |          Chapitre 06          
   10065    |     M      |   train    |   6.503    |   10039    | Saint Évangile selon Saint Marc |          Chapitre 15          
   10065    |     M      |   train    |   6.788    |   10039    | Saint Évangile selon Saint Marc |          Chapitre 05          
   10065    |     M      |   train    |   5.059    |   10039    | Saint Évangile selon Saint Marc |          Chapitre 02          
   10065    |     M      |   train    |   12.191   |   10039    | Saint Évangile selon Saint Marc |          Chapitre 14          
   10065    |     M      |   train    |   8.420    |   10039    | Saint Évangile selon Saint Marc |          Chapitre 12          
   10065    |     M      |   train    |   5.487    |   10039    | Saint Évangile selon Saint Marc |          Chapitre 03          
   10065    |     M      |   train    |   5.199    |   10039    | Saint Évangile selon Saint Marc |          Chapitre 11          
   10065    |     M      |   train    |   6.082    |   10039    | Saint Évangile selon Saint Marc |          Chapitre 07          
   10065    |     M      |   train    |   9.312    |   10039    | Saint Évangile selon Saint Marc |          Chapitre 10          
   10065    |     M      |   train    |   3.439    |   10039    | Saint Évangile selon Saint Marc |          Chapitre 16          
   10065    |     M      |   train    |   6.027    |   10039    | Saint Évangile selon Saint Marc |          Chapitre 13          
   10065    |     M      |   train    |   6.310    |   10039    | Saint Évangile selon Saint Marc |          Chapitre 08          
   10065    |     M      |   train    |   6.564    |   10039    | Saint Évangile selon Saint Marc |          Chapitre 04          
   10065    |     M      |   train    |   6.552    |   10039    | Saint Évangile selon Saint Marc |          Chapitre 01          
   10065    |     M      |   train    |   3.834    |   10545    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Tobie |           Chapitre 2          
   10065    |     M      |   train    |   4.209    |   10545    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Tobie |           Chapitre 3          
   10065    |     M      |   train    |   14.341   |   10545    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Tobie |          Introduction         
   10065    |     M      |   train    |   2.667    |   10545    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Tobie |           Chapitre 4          
   10065    |     M      |   train    |   3.635    |   10545    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Tobie |           Chapitre 8          
   10065    |     M      |   train    |   2.113    |   10545    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Tobie |           Chapitre 9          
   10065    |     M      |   train    |   3.148    |   10545    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Tobie |          Chapitre 12          
   10065    |     M      |   train    |   4.699    |   10545    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Tobie |           Chapitre 5          
   10065    |     M      |   train    |   2.402    |   10545    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Tobie |          Chapitre 10          
   10065    |     M      |   train    |   3.264    |   10545    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Tobie |          Chapitre 13          
   10065    |     M      |   train    |   2.678    |   10545    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Tobie |           Chapitre 7          
   10065    |     M      |   train    |   3.952    |   10545    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Tobie |           Chapitre 6          
   10065    |     M      |   train    |   3.234    |   10545    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Tobie |          Chapitre 14          
   10065    |     M      |   train    |   3.630    |   10545    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Tobie |          Chapitre 11          
   10065    |     M      |   train    |   4.027    |   10545    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Tobie |           Chapitre 1          
   10065    |     M      |   train    |   4.875    |   10612    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Judith |           Chapitre 8          
   10065    |     M      |   train    |   16.352   |   10612    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Judith |          Introduction         
   10065    |     M      |   train    |   5.278    |   10612    | Bible (Fillion) Apocrypha/Deuterocanon: Livre de Judith |          Chapitre 13          
